ThickChord,Camber,CamberLoc,TotalChord,TotalSpan,Twist,XLoc,"outputs[""SM""]","outputs[""Cl""]","outputs[""Cd/Cl""]","outputs[""max_RCS""]","outputs[""Tot_Obj""]"
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.390921180453363,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870661721153601,0.060360000468,0.04773121270148761,1083.123646798003,541.5856890053523
0.1,0.0,0.1,2.0,6.0,1.0,3.0,-1.4729360120296775,0.004625629121,0.19718338287415846,724.9191265930925,362.55815498798336
0.1,0.0,0.1,1.0,8.0,0.0,0.0,-24.963675972820756,0.0,inf,0.794261895632329,inf
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.377650255862575,0.005951721828,0.11265821713064106,1.524734730403648,0.8186964737671445
0.1,0.0,0.1,1.0,15.0,5.0,2.0,1.7405901365487253,0.065682163215,0.0279339614621735,305.0413220297536,152.53462799560788
0.1,0.0,0.1,2.0,6.0,1.0,3.0,-1.4709041982411808,0.0046256364,0.1971830537739629,724.9191265930925,362.55815482343326
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870737722828785,0.060359139006,0.04773101933600501,1083.123646798003,541.5856889086695
0.1,0.0,0.1,1.0,2.0,2.0,0.0,-32.59802831189115,0.001263048262,0.13091945412929915,5.43206313319356,2.7814912936614293
0.1,0.0,0.1,1.0,8.0,2.0,2.0,-8.47987171638092,0.011955233276,0.05885247964274019,0.794261895632329,0.4265571876375346
0.1,0.0,0.1,1.0,13.0,2.0,1.0,-10.15227880307307,0.021506854215,0.05305030850138211,532.9872547573164,266.52015253290887
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3906312406640388,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.87071647307688,0.060359528689,0.047731447620217186,1083.123646798003,541.5856891228116
0.1,0.0,0.1,2.0,6.0,1.0,3.0,-1.4699382909805792,0.004625675935,0.19718152088836288,724.9191265930925,362.5581540569904
0.1,0.0,0.1,2.0,4.0,3.0,5.0,11.377451569822616,0.005951752341,0.11265748817890875,1.524734730403648,0.8186961092912783
0.1,0.0,0.1,1.0,8.0,0.0,0.0,-24.96362519346885,0.0,inf,0.794261895632329,inf
0.1,0.0,0.1,1.0,13.0,5.0,2.0,-1.7538657959299275,0.057961122187,0.029719232858233892,532.9872547573164,266.5084869950873
0.1,0.0,0.1,1.0,10.0,4.0,3.0,2.4970574308602167,0.031361340002,0.03716830281887392,623.701814902236,311.86949160252743
0.1,0.0,0.1,2.0,4.0,0.0,2.0,-11.440341341453152,0.0,inf,1.524734730403648,inf
0.1,0.0,0.1,1.0,8.0,3.0,5.0,18.950187868934307,0.017501509188,0.04618472660370437,0.794261895632329,0.42022331111801664
0.1,0.0,0.1,1.0,2.0,1.0,3.0,-15.609529906772647,0.000611820353,0.2528846273932309,16.968034486377988,8.61045955688561
0.1,0.0,0.1,1.0,11.0,1.0,4.0,11.458492581807205,0.00865416211,0.10237997991465865,1.1146899325561177,0.6085349562353882
0.1,0.0,0.1,2.0,6.0,1.0,3.0,-1.4716093003452624,0.004625688861,0.19718111256683593,724.9191265930925,362.55815385282966
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870625470874929,0.060359975572,0.04773124451588537,1083.123646798003,541.5856890212594
